"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"26","RT @Shubhrastha: Welcome to Meghalaya @ShashiTharoor Grabbed a copy of your party’s schedule where they mention that you might visit this b…",FALSE,0,NA,2018-02-10 17:53:00,FALSE,NA,"962383916509184001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ConfusedSecular",63,TRUE,FALSE,NA,NA
"27","RT @ezlusztig: Once upon a time a woman ran for President and after a campaign of rank sexism that included stalking her on a debate stage…",FALSE,0,NA,2018-02-10 17:53:00,FALSE,NA,"962383914672316416",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MorganAuCourant",275,TRUE,FALSE,NA,NA
"28","@kosaqsi_tweets it is.. first time ever for a government to lose the local election",FALSE,0,"kosaqsi_tweets",2018-02-10 17:52:59,FALSE,"962383614779408384","962383911262208000","389212555","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drexter007",0,FALSE,FALSE,NA,NA
"29","RT @TruthinGov2016: @realDonaldTrump @nytimes .@SebGorka: We need to understand the enormity of the #ObamaGate spying scandal: 1) It’s perv…",FALSE,0,NA,2018-02-10 17:52:58,FALSE,NA,"962383907541929984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Patriotictoo",33,TRUE,FALSE,NA,NA
"30","RT @FOXSoccer: ""We got a candidate we can unify behind.""

Athlete Council member @stuholden shares what was behind their decision to vote f…",FALSE,0,NA,2018-02-10 17:52:58,FALSE,NA,"962383905755054080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamFicarro",7,TRUE,FALSE,NA,NA
"31","RT @sush091979: Gujarat election over so is Rahul Gandhi’s ‘Temple Run’

Karnataka poll campaign to start with his visit to SUFI SHRINE

In…",FALSE,0,NA,2018-02-10 17:52:57,FALSE,NA,"962383904283021313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neerajrattan",158,TRUE,FALSE,NA,NA
"32","RT @jamesarice911: So, WaPo and NYTIMES...been following their headlines since the election. Talk about a complete hatred and degradation v…",FALSE,0,NA,2018-02-10 17:52:57,FALSE,NA,"962383903586766848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GreyWolf1065",1,TRUE,FALSE,NA,NA
"33","RT @realDonaldTrump: Costs on non-military lines will never come down if we do not elect more Republicans in the 2018 Election, and beyond.…",FALSE,0,NA,2018-02-10 17:52:56,FALSE,NA,"962383900965183490",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Moonwingate",18762,TRUE,FALSE,NA,NA
"34","RT @FOXSoccer: ""What happened in that Athletes Council' room?""

@AlexiLalas and @GrantWahl react to Carlos Cordeiro being elected U.S. Socc…",FALSE,0,NA,2018-02-10 17:52:56,FALSE,NA,"962383898087907329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EloyLopezIII",30,TRUE,FALSE,NA,NA
"35","RT @SilERabbit: How Hillary #CouldBeatTrumpIn2020:

-Zero primary challengers
-A worse vagina grabbing tape
-A more racist Trump
-A bigger…",FALSE,0,NA,2018-02-10 17:52:55,FALSE,NA,"962383895005188097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DRicebowl",67,TRUE,FALSE,NA,NA
"36","RT @DjLots3: Everyone wanted to know why, Comey came out right before the election &amp; talked about reopening the Clinton investigation.

Her…",FALSE,0,NA,2018-02-10 17:52:55,FALSE,NA,"962383894631911424",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dizzykellycat21",1256,TRUE,FALSE,NA,NA
"37","RT @mcspocky: Idaho, you can register to vote online now. Here's how. https://t.co/Pn3wZWvwLT
#Idaho #BlueWave2018 #BlueWave #TheReisistanc…",FALSE,0,NA,2018-02-10 17:52:54,FALSE,NA,"962383890710016000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","henrismom1",28,TRUE,FALSE,NA,NA
"38","@Liz_Wheeler Perfect, now if she would follow through and leave as she threatened to do after the election!",FALSE,0,"Liz_Wheeler",2018-02-10 17:52:53,FALSE,"962369992376205314","962383888420163584","264361128","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RagingRed",0,FALSE,FALSE,NA,NA
"39","RT @GoodforFlorida: Emily's List has been making history and electing pro-choice women for over thirty years. I'm proud to have their endor…",FALSE,0,NA,2018-02-10 17:52:53,FALSE,NA,"962383885194719232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DA4Pups",268,TRUE,FALSE,NA,NA
"40","@johnpavlovitz Another couple from church, who were friends, I was w/them 1st election night Obama won - they said… https://t.co/IK9yCDLoh3",FALSE,0,"johnpavlovitz",2018-02-10 17:52:52,TRUE,"962317677653123073","962383882845872129","493714995","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Marvelissa1",0,FALSE,FALSE,NA,NA
"41","RT @cnni: Former President George W. Bush: ""There's pretty clear evidence that the Russians meddled"" in the 2016 presidential election http…",FALSE,0,NA,2018-02-10 17:52:52,FALSE,NA,"962383882145419264",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","8712patriciaac",57,TRUE,FALSE,NA,NA
"42","RT @AlterNet: #Russia is not the biggest threat to our #elections—#Facebook and #YouTube are. #Democracy
#democracyunderthreat
https://t.co…",FALSE,0,NA,2018-02-10 17:52:51,FALSE,NA,"962383880245346310",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","CinShel",9,TRUE,FALSE,NA,NA
"43","RT @RealKyleMorris: Happy Friday!

Celebrate with a video of Nancy Pelosi’s election day prediction saying, “We will of course retain the W…",FALSE,0,NA,2018-02-10 17:52:51,FALSE,NA,"962383877779218433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JohnRealSmith",891,TRUE,FALSE,NA,NA
"44","RT @judithnwana: Craze dey kind kind! All man don call 4 dialogue but #Cameroon no hear instead them de plan election 4 senators! How e go…",FALSE,0,NA,2018-02-10 17:52:51,FALSE,NA,"962383877707845633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BaliNyonga",32,TRUE,FALSE,NA,NA
"45","RT @realDonaldTrump: Costs on non-military lines will never come down if we do not elect more Republicans in the 2018 Election, and beyond.…",FALSE,0,NA,2018-02-10 17:52:50,FALSE,NA,"962383875853963264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alhenderson1",18762,TRUE,FALSE,NA,NA
